dcid	Absences	Behavior	Comment	Course_Equiv	Course_Name	Course_Number	Credit_Type	DateStored	EarnedCrHrs	ExcludeFromClassRank	ExcludeFromGPA	ExcludeFromGradeSuppression	ExcludeFromGraduation	ExcludeFromHonorRoll	ExcludeFromTranscripts	GPA_Points	Grade	Grade_Level	GradeScale_Name	IsEarnedCrHrsFromGB	IsPotentialCrHrsFromGB	Numeric	PotentialCrHrs	Replaced_DCID	Replaced_Equivalent_Course	Replaced_Grade	SchoolID	SchoolName	SectionID	StoreCode	StudentID	Tardies	Teacher_Name	TermBinsName	TermID	TRANSACTION_DATE
333978720	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	100	0.5				3804	Cherry Hill Middle School	28028	Q1	4798557117	0	"Cherry, Margaret"	Q1	3303	3/20/2024
339311637	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	98	0.5				2517	Blueberry Creek Middle School	28914	Q1	3395296148	0	"Hayes, Benjamin"	Q1	3303	3/20/2024
336262843	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	90	0.5				7064	Apple Grove Middle School	21135	Q1	2725360482	0	"Oliva, Sophia"	Q1	3303	3/20/2024
332488442	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	94	0.5				7064	Apple Grove Middle School	21135	Q1	2448823989	0	"Oliva, Sophia"	Q1	3303	3/20/2024
335656648	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		3	B	8	Middle School Grade Scale	FALSE	FALSE	89	0.5				2517	Blueberry Creek Middle School	28904	Q1	2939470144	0	"Miller, Daniel"	Q1	3303	3/20/2024
333379814	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	100	0.5				7064	Apple Grove Middle School	21248	Q1	5471434839	0	"Wright, Evelyn"	Q1	3303	3/20/2024
337716732	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	100	0.5				7064	Apple Grove Middle School	21248	Q1	4744744731	0	"Wright, Evelyn"	Q1	3303	3/20/2024
337309142	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	100	0.5				3804	Cherry Hill Middle School	27938	Q1	1540585075	0	"Patel, Jayden"	Q1	3303	3/20/2024
333642766	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	95	0.5				2517	Blueberry Creek Middle School	28913	Q1	4577118353	0	"Hayes, Benjamin"	Q1	3303	3/20/2024
339821363	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	98	0.5				2517	Blueberry Creek Middle School	28853	Q1	7226843413	0	"Nguyen, Alexander"	Q1	3303	3/20/2024
338526935	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	100	0.5				2517	Blueberry Creek Middle School	28894	Q1	2486415885	0	"Garcia, Emily"	Q1	3303	3/20/2024
331589864	0				Phys Ed 6th	PE6	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	6	Middle School Grade Scale	FALSE	FALSE	100	0.5				2517	Blueberry Creek Middle School	28921	Q1	7760902841	0	"Garcia, Emily"	Q1	3303	3/20/2024
339621076	0				Phys Ed 6th	PE6	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	6	Middle School Grade Scale	FALSE	FALSE	94	0.5				7064	Apple Grove Middle School	21541	Q1	6712122189	0	"Brown, Olivia"	Q1	3303	3/20/2024
332108891	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	90	0.5				7064	Apple Grove Middle School	21326	Q1	1687962656	0	"Thompson, William"	Q1	3303	3/20/2024
331467008	0				Phys Ed 6th	PE6	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	6	Middle School Grade Scale	FALSE	FALSE	98	0.5				2517	Blueberry Creek Middle School	28921	Q1	6957217545	0	"Garcia, Emily"	Q1	3303	3/20/2024
334687279	0				Phys Ed 6th	PE6	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	6	Middle School Grade Scale	FALSE	FALSE	100	0.5				7064	Apple Grove Middle School	21541	Q1	5835868994	0	"Brown, Olivia"	Q1	3303	3/20/2024
335961664	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	96	0.5				2517	Blueberry Creek Middle School	28874	Q1	4654100077	0	"Lewis, Ava"	Q1	3303	3/20/2024
331247698	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	96	0.5				2517	Blueberry Creek Middle School	28860	Q1	2899594961	0	"Lewis, Ava"	Q1	3303	3/20/2024
335858470	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	100	0.5				7064	Apple Grove Middle School	21248	Q1	8299691304	0	"Wright, Evelyn"	Q1	3303	3/20/2024
336910266	0				Phys Ed 6th	PE6	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	6	Middle School Grade Scale	FALSE	FALSE	94	0.5				7064	Apple Grove Middle School	21365	Q1	7299003499	0	"Oliva, Sophia"	Q1	3303	3/20/2024
332644761	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	99	0.5				2517	Blueberry Creek Middle School	28903	Q1	3151700680	0	"Nguyen, Alexander"	Q1	3303	3/20/2024
336115763	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	100	0.5				3804	Cherry Hill Middle School	28300	Q1	5713066448	0	"Jackson, Christopher"	Q1	3303	3/20/2024
336476326	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	100	0.5				2517	Blueberry Creek Middle School	28854	Q1	4802315710	0	"Garcia, Emily"	Q1	3303	3/20/2024
339817000	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	100	0.5				3804	Cherry Hill Middle School	28030	Q1	3109378280	0	"Cherry, Margaret"	Q1	3303	3/20/2024
334692696	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	95	0.5				2517	Blueberry Creek Middle School	28893	Q1	9530632852	0	"Lewis, Ava"	Q1	3303	3/20/2024
334685039	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	94	0.5				7064	Apple Grove Middle School	21345	Q1	8752093294	0	"Oliva, Sophia"	Q1	3303	3/20/2024
336727139	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	100	0.5				7064	Apple Grove Middle School	20895	Q1	8514214761	0	"Thompson, William"	Q1	3303	3/20/2024
335030229	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	100	0.5				7064	Apple Grove Middle School	20895	Q1	2921557060	0	"Thompson, William"	Q1	3303	3/20/2024
331445333	0				Phys Ed 6th	PE6	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	6	Middle School Grade Scale	FALSE	FALSE	100	0.5				2517	Blueberry Creek Middle School	28919	Q1	2860753130	0	"Nguyen, Alexander"	Q1	3303	3/20/2024
339986650	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	100	0.5				2517	Blueberry Creek Middle School	28913	Q1	3043139440	0	"Hayes, Benjamin"	Q1	3303	3/20/2024
334265241	0				Phys Ed 6th	PE6	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	6	Middle School Grade Scale	FALSE	FALSE	100	0.5				7064	Apple Grove Middle School	21365	Q1	1067583182	0	"Oliva, Sophia"	Q1	3303	3/20/2024
338251181	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	100	0.5				3804	Cherry Hill Middle School	28030	Q1	7660578437	0	"Cherry, Margaret"	Q1	3303	3/20/2024
339052290	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	98	0.5				2517	Blueberry Creek Middle School	28862	Q1	2891639088	0	"Hayes, Benjamin"	Q1	3303	3/20/2024
333527079	0				Phys Ed 6th	PE6	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	6	Middle School Grade Scale	FALSE	FALSE	100	0.5				7064	Apple Grove Middle School	21365	Q1	9364704117	0	"Oliva, Sophia"	Q1	3303	3/20/2024
336303203	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	100	0.5				2517	Blueberry Creek Middle School	28904	Q1	1383954590	0	"Miller, Daniel"	Q1	3303	3/20/2024
337367772	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	99	0.5				2517	Blueberry Creek Middle School	28853	Q1	5821996715	0	"Nguyen, Alexander"	Q1	3303	3/20/2024
335783941	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		3	B	7	Middle School Grade Scale	FALSE	FALSE	88	0.5				2517	Blueberry Creek Middle School	28874	Q1	9698497276	0	"Lewis, Ava"	Q1	3303	3/20/2024
334295016	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	100	0.5				7064	Apple Grove Middle School	21346	Q1	7512948656	0	"Brown, Olivia"	Q1	3303	3/20/2024
335722710	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	93	0.5				7064	Apple Grove Middle School	21345	Q1	6803078041	0	"Oliva, Sophia"	Q1	3303	3/20/2024
331327614	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	100	0.5				3804	Cherry Hill Middle School	28563	Q1	6977095384	0	"Cherry, Margaret"	Q1	3303	4/18/2024
338179135	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	96.02	0.5				3804	Cherry Hill Middle School	28482	Q1	3066071889	0	"Patel, Jayden"	Q1	3303	3/20/2024
333557651	0				Phys Ed 6th	PE6	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	6	Middle School Grade Scale	FALSE	FALSE	100	0.5				7064	Apple Grove Middle School	21542	Q1	8074086724	0	"Brown, Olivia"	Q1	3303	3/20/2024
332799251	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	100	0.5				3804	Cherry Hill Middle School	28212	Q1	8521602927	0	"Patel, Jayden"	Q1	3303	3/20/2024
336409546	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	90	0.5				7064	Apple Grove Middle School	21248	Q1	4223641378	0	"Wright, Evelyn"	Q1	3303	3/20/2024
332668937	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	100	0.5				3804	Cherry Hill Middle School	28396	Q1	6069274009	0	"Jackson, Christopher"	Q1	3303	3/20/2024
338807988	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	100	0.5				3804	Cherry Hill Middle School	28212	Q1	1321286390	0	"Patel, Jayden"	Q1	3303	3/20/2024
335400957	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	91	0.5				2517	Blueberry Creek Middle School	28874	Q1	8477869130	0	"Lewis, Ava"	Q1	3303	3/20/2024
331599618	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	100	0.5				2517	Blueberry Creek Middle School	28913	Q1	3678370279	0	"Hayes, Benjamin"	Q1	3303	3/20/2024
337035180	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	100	0.5				3804	Cherry Hill Middle School	28030	Q1	1904464509	0	"Cherry, Margaret"	Q1	3303	3/20/2024
334612445	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		3	B	7	Middle School Grade Scale	FALSE	FALSE	86	0.5				2517	Blueberry Creek Middle School	28893	Q1	6104839546	0	"Lewis, Ava"	Q1	3303	3/20/2024
336652808	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	100	0.5				3804	Cherry Hill Middle School	28300	Q1	2092438713	0	"Jackson, Christopher"	Q1	3303	3/20/2024
336183042	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	100	0.5				3804	Cherry Hill Middle School	28026	Q1	7142576467	0	"Jackson, Christopher"	Q1	3303	3/20/2024
337201663	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		3	B	7	Middle School Grade Scale	FALSE	FALSE	86	0.5				2517	Blueberry Creek Middle School	28853	Q1	5802321931	0	"Nguyen, Alexander"	Q1	3303	3/20/2024
335412146	0				Phys Ed 6th	PE6	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	6	Middle School Grade Scale	FALSE	FALSE	100	0.5				7064	Apple Grove Middle School	21541	Q1	7043246042	0	"Brown, Olivia"	Q1	3303	3/20/2024
339873368	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	92	0.5				7064	Apple Grove Middle School	21345	Q1	9060768843	0	"Oliva, Sophia"	Q1	3303	3/20/2024
338938344	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	100	0.5				7064	Apple Grove Middle School	21346	Q1	9899740186	0	"Brown, Olivia"	Q1	3303	3/20/2024
334411055	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	98	0.5				2517	Blueberry Creek Middle School	28884	Q1	2711089988	0	"Miller, Daniel"	Q1	3303	3/20/2024
333843050	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	98	0.5				2517	Blueberry Creek Middle School	28914	Q1	6478289404	0	"Hayes, Benjamin"	Q1	3303	3/20/2024
339983080	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	100	0.5				3804	Cherry Hill Middle School	28119	Q1	7644495294	0	"Cherry, Margaret"	Q1	3303	3/20/2024
332015967	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	94	0.5				7064	Apple Grove Middle School	21031	Q1	6157861634	0	"Thompson, William"	Q1	3303	3/20/2024
333524244	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	7	Middle School Grade Scale	FALSE	FALSE	96	0.5				2517	Blueberry Creek Middle School	28874	Q1	8860455748	0	"Lewis, Ava"	Q1	3303	3/20/2024
335585669	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	96.02	0.5				3804	Cherry Hill Middle School	28212	Q1	9018473111	0	"Patel, Jayden"	Q1	3303	3/20/2024
332941956	0				Phys Ed 6th	PE6	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	6	Middle School Grade Scale	FALSE	FALSE	98	0.5				2517	Blueberry Creek Middle School	28902	Q1	6675893211	0	"Hayes, Benjamin"	Q1	3303	3/20/2024
334508129	0				Phys Ed 6th	PE6	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		3	B	6	Middle School Grade Scale	FALSE	FALSE	89	0.5				2517	Blueberry Creek Middle School	28858	Q1	2268958417	0	"Miller, Daniel"	Q1	3303	3/20/2024
335135478	0				Phys Ed 7th	PE7	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		3	B	7	Middle School Grade Scale	FALSE	FALSE	82	0.5				7064	Apple Grove Middle School	21248	Q1	2809252552	0	"Wright, Evelyn"	Q1	3303	3/20/2024
337771396	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		3	B	8	Middle School Grade Scale	FALSE	FALSE	87	0.5				2517	Blueberry Creek Middle School	28904	Q1	3950192071	0	"Miller, Daniel"	Q1	3303	3/20/2024
336575518	0				Phys Ed 6th	PE6	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	6	Middle School Grade Scale	FALSE	FALSE	100	0.5				7064	Apple Grove Middle School	21541	Q1	7850770174	0	"Brown, Olivia"	Q1	3303	3/20/2024
336089970	0				Phys Ed 6th	PE6	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	6	Middle School Grade Scale	FALSE	FALSE	100	0.5				7064	Apple Grove Middle School	21542	Q1	5717349977	0	"Brown, Olivia"	Q1	3303	3/20/2024
336429806	0				Phys Ed 8th	PE8	ELEC	11/20/2023	0	1	0	FALSE	FALSE	0		4	A	8	Middle School Grade Scale	FALSE	FALSE	96	0.5				7064	Apple Grove Middle School	21135	Q1	8081373791	0	"Oliva, Sophia"	Q1	3303	3/20/2024
